iPrEC_basal_01	iPrEC_basal_02	iPrEC_basal_03	iPrEC_4day_01	iPrEC_4day_02	iPrEC_4day_03	iPrEC_8day_01	iPrEC_8day_02	iPrEC_8day_03	iPrEC_11day_01	iPrEC_11day_02	iPrEC_11day_03	iPrEC_14Tday_01	iPrEC_14Tday_02	iPrEC_14Tday_03	iPrEC_17Tday_01	iPrEC_17Tday_02	iPrEC_17Tday_03
54751	138.030800190534	132.193876772447	137.980750989642	119.905293754335	184.025457331586	91.4127591480414	98.5717707620849	155.773331689214	112.65526023062	107.186194329127	139.605325220263	126.754944054739	184.493273418333	145.274956884271	144.775633595101	125.582858472296	172.47337666511	127.474770905054
440567	70.3479581019332	81.027844793976	86.9493733321529	79.2299035167624	78.0430735067305	109.70922463962	72.1372286715669	80.0230919798795	90.5850154922204	76.521815785332	86.5738077277273	70.8079342650609	40.1705139345691	37.8377739413405	48.2397376164503	39.5672019844222	46.4872762809796	32.5570014244549
23013	238.41683669274	81.3869046675091	82.0169725176744	206.558266625441	72.9831984097472	64.2115499951615	162.325666392158	65.0216649865533	82.9453153904669	126.386213562537	74.0821961918628	94.5854134256739	197.301263368485	111.690480159694	103.306385468679	127.221251929208	74.7942798483	129.608527869447
1969	321.646188859116	61.3393950619094	65.0065132985114	113.921390907467	76.3381155936166	79.3774415433145	67.5399170036507	88.1972441496176	68.9391985372521	103.791408319741	60.0869647489036	104.842365220448	199.047807452597	135.055996038799	195.554304770312	97.4024910134119	126.783480766308	93.7476446936734
54455	26.3735438819402	26.6901172659625	23.334050006956	25.9807427402003	25.6843659814257	18.0877605620173	39.279971750872	17.6022935927884	23.5860582506518	38.3443862371591	24.2314131181815	38.9880724471817	20.0852569672846	71.3117754135337	44.2902854139339	22.4459903596929	30.4599305992011	82.3905511735147
26099	219.761024599409	203.826321542306	205.263756971759	204.210152850087	179.845560512339	226.097007025217	216.006040867532	213.456837341571	186.869489790511	195.728891721464	186.217542340202	211.025127550441	159.692347423946	197.805939392614	182.126167281756	153.025948875571	172.712590779763	194.44720723908
23400	39.1438914458271	42.3092217646536	35.0959288722508	30.2224966569677	45.318881303415	46.5411992922677	39.8884394716256	88.7545727066452	41.1088624522928	37.8435161702005	64.3664983306349	36.6569470392784	61.1872610800466	30.7121201626063	41.6949311094231	97.0748123220295	90.2634592625539	25.9492379218171
6390	75.5671436280435	94.5524333637238	91.8185382387535	76.5788073187828	108.897311869856	97.2564971757701	59.9002667319665	95.0245189732057	97.3758600271124	62.553106140155	92.7617819607713	104.31786200367	45.2937099146301	82.4145382780731	71.5415056112971	45.5473381021506	74.8740178865178	72.6165676591963
55920	378.613043644106	344.278575406014	367.463860678648	437.430872666638	366.125962180624	318.135880961943	546.336405712214	267.749927605343	392.656332213935	518.122258153775	370.295317889538	447.925747128607	401.064739848183	505.369042028211	519.409385376657	239.69696274621	228.290003417572	534.815858494745
8659	39.7546471988826	88.0893556401275	76.0727971771491	66.7318785834299	67.70332874333	63.794140136038	61.3876322715865	32.5108324932766	52.507780064433	56.5983175663146	53.1471805623122	35.5496624705244	34.7562272738228	18.6703176528074	47.3934264301968	23.3471067609944	26.1540765354397	18.240180502073
126917	396.547053483826	263.789320422338	265.337869455792	461.214992842798	401.105098720638	137.745253510747	342.702541833339	142.722554645484	185.717471521199	365.635148879732	239.711712111843	202.982744893174	737.158039767412	283.866160999341	393.365439370633	109.772361613097	114.822775033637	383.869760981363
23352	237.806080939684	122.439416874797	124.258558980131	161.413885654131	122.371979247692	108.178721822834	182.405101177027	132.969304897501	130.299329513241	165.287122096317	130.699268847471	151.581429648908	168.250413436094	182.228928806544	152.900220983135	204.799182113986	155.568912562935	197.751088990399
23065	134.865974924701	86.4735862092284	85.5581833588385	123.086609191911	76.8331033748432	89.325709852424	128.251474029955	89.126125077997	91.8582988425127	109.134022367299	78.4773928433707	82.2304487637867	127.38128186788	54.4642994250536	72.5570790348013	111.492674742854	74.2361135807753	56.6478058611551
832	183.726435169137	223.454927962117	221.515385296387	178.759629349483	231.489285686983	257.959292938309	179.362762573259	277.642509492583	212.577686958316	174.692348909205	253.996101229244	216.037047177433	145.952867295601	174.16423538255	165.707730268438	171.949393302903	241.207565608857	157.416199276381
440574	75.5671436280435	92.0390142489919	91.6920664229976	58.2483707498951	62.8084495734223	127.588280272076	57.804433471593	63.7212316868222	77.5490192868473	42.6296079211377	73.5038808429802	61.0172075518673	21.4242740984369	28.0054764792112	43.5568157191809	24.4120625079872	29.9017643316764	29.3219505429551
4681	144.304927471921	212.922505005145	208.868203720801	138.538712745849	202.999988945273	156.389560551596	130.820559962026	214.153498037855	194.630454973245	99.5061866357626	210.044134714165	145.870172399545	109.682968482215	115.170450609774	131.178233869295	108.625486193258	175.822374270257	97.8086660130028
55450	82.2854569116536	71.9915046433922	78.2228180449987	67.1863522173693	92.1777245928684	66.994282389318	40.8349448150201	110.211722152208	62.2089865428502	46.7478729161301	85.6485031695151	86.6595870388029	64.7967855205441	98.1572617427184	67.930577883282	102.563430402684	210.747635009655	113.777427811044
1650	296.827295984953	312.80099315961	300.054382880775	269.730101743012	300.182589992766	275.76878026091	249.877410656149	270.211462065548	291.824417378887	265.906353325321	260.299738532064	230.08207776005	174.829062819581	146.103521277147	199.390915481328	167.443811296395	181.085084792632	124.790366982107
50809	252.575265513571	208.015353400192	215.191794508594	227.161071364025	180.450545578282	205.156945759189	159.148112739333	103.38444732862	155.764996519086	159.610594670787	123.875147730656	145.287391047569	123.713539291245	163.282423022777	167.908139352697	166.133096530866	154.771532180757	191.21215635758
8672	144.08283447081	62.4764179947643	75.9463253613932	131.26713460282	65.0633939101213	88.6300267538849	142.111016558232	69.8518458141258	76.4576335580254	128.445346060034	79.0557081922533	71.0410468058512	100.0769760196	83.7954789328665	76.6193727288181	134.020584775393	75.5119221922602	83.2165216113444
1889	107.604059038316	141.76880673333	123.626199901352	101.347620368478	76.8331033748432	84.0385183035267	68.8920674942143	102.362678307402	114.171073742872	64.2783252596789	79.5761920062477	78.5589262463391	49.7182882610464	47.1729327677442	74.1368599158078	42.7620692254003	57.8100777079078	44.120587554071
3339	204.603177273579	139.075857681832	131.088037030948	263.367470867861	147.176366951382	124.388138018796	162.731311539327	149.549829469073	166.133160942894	140.577532126363	133.301687917442	109.912562982638	131.281896989063	90.3687564496833	125.028372582519	193.57618693414	131.328548944723	87.4152046703122
998	381.389206157995	394.786330949674	435.695405278934	379.106756311086	449.613901280847	494.282841512051	401.047835501157	516.550684271747	450.196613139047	399.137791136292	460.107691571008	433.472769599607	352.452596173741	404.063235592563	385.2408519826	366.344776965499	475.796874045635	405.964470193308
23028	124.094464370814	146.735801650538	137.917515081764	129.600731278375	162.190996315256	220.183700687634	106.346636082825	148.528060447855	144.790506690376	90.6018298898331	136.945074615403	143.422490721247	128.021681365388	138.756916993646	115.436845804979	97.8120893776399	149.429083620164	126.855293076681
7798	262.847066814958	102.391907269197	117.239373205681	222.843571841601	76.063122381824	104.143759851307	161.10873095065	67.2974232610827	89.4936297633985	121.377512892952	77.436425215382	67.0781336124157	357.168265200843	65.567062289593	103.080702485678	113.786425582531	70.4884257845386	79.2243311618341
10236	259.959857800514	139.554604179876	139.118997331445	192.848312001603	135.901645267887	236.740958432865	168.342736075166	127.62823955932	124.11481038325	122.379253026869	106.75701340373	119.237064614251	137.453019419591	97.2734597236506	95.1817980806452	96.9928926491839	169.602807289269	103.246304728715
55616	49.970925249992	86.0546830234397	85.8743628982281	70.7463956832276	84.3679173779595	44.3845816867964	59.6298366338538	41.6603096378131	59.9049500042261	39.6243875193865	56.2700834462783	59.1523072255447	14.0305708090307	29.6073676387716	50.5529881922099	24.1663034894504	27.8285753380135	33.1764792528271
3399	36.1456359308276	61.2795517496539	64.5638619433659	95.515208732923	109.392299651083	62.4027739389598	152.725397909156	185.218857118839	137.332704210093	167.346254593813	203.162182062462	162.945666012436	63.1666777087065	128.814144279133	245.204561030518	217.169052713671	209.073136207082	136.973430940095
6135	1037.00774543789	1652.27385137495	1521.3927076351	1069.52795187064	1735.42716098053	1820.11569070792	1048.86313553017	1452.21244342825	1314.75600798749	1184.11249051964	1513.74042570024	1304.61433453305	646.104874849055	1140.82269373796	948.263473824187	737.031296591814	1092.49086162213	864.722217537899
6924	81.452608157487	69.7174587776824	73.5433608620319	75.6698600509041	69.3532880140854	59.5504732349494	70.2442179847779	50.6704546430926	66.2107342151973	74.9079011251323	54.9399581438483	74.0132317009278	134.542112612738	79.045043080377	73.8547561870567	59.7194415044384	69.7707834405783	82.5970437829722
57095	42.7529027138821	74.7442970071462	75.1874944668581	43.6294688581789	75.6781318853144	76.4555725294502	50.0295681508524	58.9839389520876	69.6667890231334	51.5896168967293	73.908701587198	73.9549535657302	65.5536212903258	104.730539259535	81.4151361175881	45.5473381021506	59.325100434046	87.0022194513973
2582	56.3560990319355	60.5614320025876	49.7034235920525	44.7656529430273	58.5185554694582	62.263637319252	37.5897836376675	89.8227857742815	42.6853085050356	36.8974282659455	59.508649400021	33.0437026570284	33.941173367904	24.3597931505564	39.3252597879133	50.6263578185774	72.8008288928549	21.131077034477
55629	221.926431360242	150.446087010381	162.200103706889	173.684673770494	99.8225358807018	237.923619700382	149.750666829916	108.864844806058	161.767618027606	117.147943438636	131.508910335906	75.3536288104722	66.0193663794223	66.8927653181947	114.082747906974	71.515874394204	72.9603049692905	66.9036054642074
10772	94.2784789716517	52.0636816623036	57.7343838925495	71.9583253737326	37.3990768037891	105.674262668094	67.4723094791226	53.1319891032978	49.6580506613979	32.2226409743325	50.1977722830109	33.7430402793994	62.8173688918842	41.31774439142	41.6949311094231	59.0640841216737	61.1590753130555	44.120587554071
57822	28.0392413902733	14.4820815658362	12.7736533913417	34.0855225454523	31.2392288596356	13.0788422525356	55.9790303093321	32.6037205861146	19.8874732807552	59.6591901977279	35.2194047469512	47.7297927268188	58.2763542731937	66.0089632991269	51.2300371412127	51.527474219879	53.9029138352354	72.1347515704623
