EntrezID,iPrEC_basal_average,iPrEC_4day_average,iPrEc_8day_average,iPrEC_11day_average,iPrEC_14day_average,iPrEC_17day_average,EMP_basal_average,EMP_4day_average,EMP_8day_average,EMP_11day_average,EMP_14day_average,EMP_17day_average
400110,0.041026407,0.041522317,0.020210847,0.019426045,0.018806915,0,0.237957264,0,0.019202323,0.026109613,0.119846806,0.044828189
221178,0.554517555,0.264640937,0.327785013,0.620909646,1.413371257,1.610913965,7.104612421,6.047405023,3.888234873,5.508943585,2.824469086,5.635104943
100313842,0,0,0,0,0,0,0,0,0,0,0,0
338872,0,0.018332881,0.015481349,0,0,0.027306558,0.086330786,0.019376701,0,0.021832871,0.027576467,0.026959124
100287275,0,0,0,0,0.019406045,0,0,0,0,0,0,0
143,57.66126887,60.60118332,61.71745515,35.78570155,32.73394688,52.24121225,64.52800887,74.99900259,97.00522988,77.61062704,84.2655079,71.56915366
374491,0.644283026,0.618688173,0.513720216,0.32527079,0.205503332,0.228306946,0.460280309,0.258796171,0.085801404,0.118062947,0.114935262,0.123932715
479,6.299409611,5.512302696,3.867502275,4.862323321,14.48363147,29.98676551,0.413854351,0,0.246739676,0.295141679,1.142066229,0.340756444
56163,1.30975145,1.23648201,0.728485797,0.878086677,1.245965816,1.047254807,0.065295692,0.020257401,0,0.131687443,0.018558702,0.022414094
55835,51.79786158,49.7649126,16.97617464,10.50096321,11.06302808,14.38319479,34.3390817,30.94081571,30.33599758,22.69418036,24.54043451,20.93569227
646405,0.338697191,0.110352269,0.106997078,0.11610967,0,0.050250181,1.017743254,0.396957656,0.364307527,0.377057041,0.599797002,0.565632409
5042,218.5450336,220.4568856,181.5200877,200.6379277,161.4632687,157.8227332,253.7318996,310.3213017,292.9858383,362.8042353,315.5674905,324.5629844
219287,0,0,0,0,0,0,0,0,0,0,0,0.022414094
9107,37.87033586,38.05595176,33.15925111,36.70990315,53.36619382,44.18597619,46.42375123,50.33263832,44.48575376,47.24972955,52.36032723,50.65658925
9818,70.49741414,67.67601183,57.26953708,64.28856887,84.21248094,68.74446915,93.76094001,89.63397194,98.72232885,93.66385071,101.2028718,90.33472522
51761,0.095418792,0.21002567,0.120153432,0.019426045,0,0,0.579618294,0.138514052,0.426653107,0.367364178,0.199315111,0.289035011
387914,0.042157272,0.025248535,0.020210847,0.019426045,0.037219457,0.053158692,0.522315436,0.435682036,0.509419108,0.491878574,0.225764303,0.220906306
6049,80.21191902,71.18942576,85.8143031,95.20469547,117.039122,107.3911783,85.42959182,73.21336604,73.20783275,82.46972688,86.03736582,95.55928003
1024,16.6054334,16.75430325,13.97533985,14.60257389,14.36361209,13.86349313,19.028337,20.37026328,20.46129591,22.74411125,21.55086614,27.27198224
10810,21.54806929,18.82990693,17.33974768,18.72334724,19.36257242,20.09824158,28.64476589,25.17103382,21.35165697,23.70711057,26.35870393,25.77228056
100506956,0,0,0,0,0,0,0.021035094,0,0,0,0.025120695,0.026959124
2835,0,0.023189437,0,0.019426045,0.019406045,0,0,0,0,0,0,0.022414094
219333,34.58633954,32.7169968,35.31093671,37.94326777,38.35359927,42.32600967,48.89370443,39.06324378,47.16736751,41.77660157,42.50499782,46.11050576
6144,452.0125055,473.3836147,370.6390156,384.7686718,250.4517121,250.291882,526.4528887,528.6839332,562.3517646,546.4121633,501.0632613,514.1581293
26771,0.563573596,0.530431999,0.375680931,0.480083683,1.273554926,1.4419072,1.089535027,0.53509012,0.351061913,0.718415657,0.319967242,0.781842286
